,census_tract,year,population,total_laborforce,resident_workforce,perc_total_resident_workforce,drove_alone,carpool,public_transit,walk,bike,other_mode,work_at_home,top_mode
1,3521,2000,3042,1504,486,1.9,19.5,7.6,8.6,49.2,2.5,2.3,10.3,walk
9,3522,2000,2021,907,403,1.6,22.3,10.4,10.2,53.3,2.5,0.2,1.0,walk
13,3523,2000,2229,1360,581,2.3,26.2,12.2,3.6,45.8,3.6,1.7,6.9,walk
17,3524,2000,1942,961,444,1.7,21.2,8.8,14.6,43.0,2.5,4.3,5.6,walk
21,3525,2000,3312,1797,682,2.7,18.9,4.3,19.8,32.7,9.5,1.6,13.2,walk
25,3526,2000,2652,1346,631,2.5,31.5,9.2,12.4,40.3,2.5,1.0,3.2,walk
29,3527,2000,2407,1091,449,1.8,20.9,7.8,16.3,41.6,5.6,2.2,5.6,walk
33,3528,2000,2385,1567,616,2.4,29.7,13.3,9.9,35.9,5.5,0.0,5.7,walk
37,3529,2000,2553,1725,789,3.1,23.6,5.7,10.1,41.4,7.9,1.1,10.1,walk
41,3530,2000,3706,2083,868,3.4,15.7,4.0,32.3,37.1,2.6,0.2,8.1,walk
45,3531,2000,8064,4104,3190,12.5,2.7,0.3,5.8,76.4,5.1,2.2,7.5,walk
53,3532,2000,3143,1790,675,2.6,34.4,4.1,19.9,24.9,5.3,0.3,11.1,drove_alone
57,3533,2000,3636,2300,873,3.4,23.1,4.0,9.6,36.8,8.7,0.0,17.8,walk
61,3534,2000,2430,1219,460,1.8,32.2,4.1,26.5,18.3,5.9,2.2,10.9,drove_alone
65,3535,2000,2599,1479,484,1.9,20.0,8.3,13.6,36.8,7.2,1.7,12.4,walk
69,3536,2000,4742,2433,1364,5.3,15.5,2.8,7.3,60.2,1.6,1.2,11.4,walk
73,3537,2000,5246,2598,1464,5.7,10.4,1.3,6.3,65.6,3.7,0.4,12.3,walk
77,3538,2000,4636,2779,1276,5.0,17.2,2.7,14.7,41.8,9.6,1.3,12.9,walk
81,3539,2000,5923,2816,2056,8.1,2.3,1.0,4.9,78.0,5.6,1.4,6.8,walk
85,3540,2000,4649,2633,1533,6.0,9.8,3.7,12.9,50.1,5.9,2.4,15.3,walk
89,3541,2000,2704,1519,607,2.4,11.0,0.0,15.3,47.6,2.1,1.6,22.2,walk
93,3542,2000,3063,1725,703,2.8,39.0,5.8,8.0,14.5,2.6,0.3,29.9,drove_alone
97,3543,2000,3266,1712,629,2.5,42.6,13.8,13.0,9.4,2.1,0.0,19.1,drove_alone
101,3544,2000,1714,1068,474,1.9,36.9,9.1,19.8,14.6,2.7,0.0,16.9,drove_alone
105,3545,2000,2405,1598,610,2.4,26.1,3.4,9.2,36.6,7.5,0.8,16.4,walk
109,3546,2000,4409,2110,765,3.0,33.6,6.9,18.0,21.7,7.1,0.9,11.8,drove_alone
113,3547,2000,2481,1559,607,2.4,25.5,7.4,27.8,15.7,3.6,1.0,18.9,public_transit
117,3548,2000,2049,1271,498,2.0,37.3,2.4,30.9,11.6,5.4,0.2,12.0,drove_alone
121,3549,2000,5235,2544,807,3.2,27.6,8.3,36.8,17.7,3.7,0.9,5.0,public_transit
125,3550,2000,2712,1381,489,1.9,39.9,8.4,25.6,11.7,2.0,0.2,12.3,drove_alone
129,Citywide,2000,101355,54979,25513,,19.0,4.6,13.3,45.2,5.4,1.1,11.4,walk
