,census_tract,year,population,total_laborforce,resident_workforce,perc_total_resident_workforce,drove_alone,carpool,public_transit,walk,bike,other_mode,work_at_home,top_mode
2,3521,2006-2010,3777,2115,660,2.6,13.6,2.1,12.9,31.8,7.6,5.3,27.3,walk
4,3521.01,2006-2010,1315,900,295,1.1,0.0,0.0,13.6,25.4,5.1,11.9,44.1,work_at_home
6,3521.02,2006-2010,2462,1215,365,1.4,24.7,3.8,12.3,37.0,9.6,0.0,13.7,walk
10,3522,2006-2010,2003,1035,539,2.1,16.5,0.0,9.3,43.6,13.9,0.0,16.7,walk
14,3523,2006-2010,2945,1670,785,3.0,18.5,1.3,16.6,46.5,10.8,0.0,6.4,walk
18,3524,2006-2010,2160,930,430,1.7,10.5,2.3,19.8,48.8,1.9,10.5,4.7,walk
22,3525,2006-2010,3348,2120,1004,3.9,10.3,6.0,5.0,59.7,15.3,1.0,1.5,walk
26,3526,2006-2010,2615,1755,833,3.2,12.5,7.2,9.5,47.4,16.8,1.2,4.2,walk
30,3527,2006-2010,2044,885,293,1.1,18.1,0.0,15.4,40.6,3.4,0.0,22.2,walk
34,3528,2006-2010,2683,1555,845,3.3,22.5,11.2,5.9,45.0,13.0,0.0,2.4,walk
38,3529,2006-2010,3160,1915,924,3.6,15.6,11.4,15.7,38.3,8.7,0.0,10.3,walk
42,3530,2006-2010,3998,2195,944,3.7,11.1,1.1,27.5,33.3,10.6,0.0,16.4,walk
46,3531,2006-2010,5755,3325,2164,8.4,2.8,0.0,8.9,69.5,8.0,0.0,10.2,walk
48,3531.01,2006-2010,2807,1650,870,3.4,4.0,0.0,9.1,73.0,1.6,0.0,12.1,walk
50,3531.02,2006-2010,2948,1675,1294,5.0,1.9,0.0,8.8,67.1,12.4,0.0,8.9,walk
54,3532,2006-2010,3652,2215,882,3.4,20.2,0.5,7.9,32.1,22.6,0.0,16.4,walk
58,3533,2006-2010,4369,3195,1305,5.1,13.4,5.7,19.5,33.7,10.3,0.0,17.2,walk
62,3534,2006-2010,3033,1745,694,2.7,18.0,6.5,16.4,37.3,11.5,0.0,10.1,walk
66,3535,2006-2010,2817,1505,488,1.9,17.4,2.0,7.4,22.3,12.3,2.0,35.9,work_at_home
70,3536,2006-2010,4839,1980,1095,4.3,10.0,5.0,8.6,54.3,5.5,1.4,15.1,walk
74,3537,2006-2010,5695,2235,1069,4.2,9.3,1.9,6.5,60.7,7.0,0.0,13.6,walk
78,3538,2006-2010,4575,2865,1320,5.1,9.1,8.0,17.8,51.9,4.9,3.0,7.2,walk
82,3539,2006-2010,3378,1690,1048,4.1,7.5,1.0,4.8,70.0,6.6,0.0,10.0,walk
86,3540,2006-2010,3593,2090,1155,4.5,15.6,0.0,19.9,45.5,5.6,0.0,13.0,walk
90,3541,2006-2010,3141,1745,864,3.4,10.3,0.0,22.0,45.1,4.1,0.0,17.4,walk
94,3542,2006-2010,3381,1725,764,3.0,31.4,1.3,8.5,19.6,11.8,4.5,21.6,drove_alone
98,3543,2006-2010,3968,2065,853,3.3,25.2,9.1,26.8,9.4,2.9,4.7,19.9,public_transit
102,3544,2006-2010,1479,820,370,1.4,45.9,2.7,5.4,18.6,5.4,0.0,20.3,drove_alone
106,3545,2006-2010,2511,1540,770,3.0,9.1,0.0,20.8,44.8,11.0,2.6,14.3,walk
110,3546,2006-2010,4953,2365,1065,4.1,26.7,12.2,17.4,12.7,8.5,0.0,23.9,drove_alone
114,3547,2006-2010,2624,1675,618,2.4,17.5,0.0,38.8,23.5,4.9,0.0,15.4,public_transit
118,3548,2006-2010,2130,1425,460,1.8,23.9,0.0,30.4,20.4,6.5,0.0,17.4,public_transit
122,3549,2006-2010,5830,2785,779,3.0,35.9,6.4,35.2,5.1,7.7,0.0,9.0,drove_alone
126,3550,2006-2010,3050,1745,739,2.9,44.0,5.3,24.4,11.4,0.0,3.4,11.5,drove_alone
130,Citywide,2006-2010,103506,56910,25759,,16.0,3.9,15.6,41.3,8.8,1.1,13.3,walk
